datetime,LMP,temperature_sd,relativeHumidity_sd,windSpeed_sd,temperature_la,relativeHumidity_la,windSpeed_la,temperature_sf,relativeHumidity_sf,windSpeed_sf,hour,month,LMP_lag48
2022-01-01 00:00:00-08:00,59.72968,53.0,72.0,3.0,49.0,81.5,1.5,43.0,82.0,5.0,0,1,
2022-01-01 01:00:00-08:00,61.75716,52.0,77.0,5.0,49.666666666666664,76.0,1.0,42.0,82.0,0.0,1,1,
2022-01-01 02:00:00-08:00,57.82711,53.0,74.5,5.0,49.0,71.0,1.5,41.0,82.0,3.0,2,1,
2022-01-01 03:00:00-08:00,58.68672,52.0,77.0,6.0,48.0,71.0,0.0,43.0,80.0,6.0,3,1,
2022-01-01 04:00:00-08:00,60.77612,51.0,80.0,5.0,47.0,74.0,0.0,44.5,78.5,8.0,4,1,
2022-01-01 05:00:00-08:00,75.42604,52.0,81.0,3.0,47.0,66.0,1.5,41.0,82.0,0.0,5,1,
2022-01-01 06:00:00-08:00,83.81034,50.0,83.0,4.0,47.0,63.5,1.5,41.0,79.0,0.0,6,1,
2022-01-01 07:00:00-08:00,77.28205,53.0,77.0,5.0,47.0,62.0,0.0,39.0,86.0,3.0,7,1,
2022-01-01 08:00:00-08:00,56.99334,56.0,67.0,8.0,51.0,52.0,0.0,44.0,79.0,5.0,8,1,
2022-01-01 09:00:00-08:00,42.90697,58.0,62.0,5.0,56.0,47.0,0.0,48.0,63.0,0.0,9,1,
2022-01-01 10:00:00-08:00,41.1664,59.0,54.0,3.0,57.0,53.0,0.0,48.5,61.0,4.0,10,1,
2022-01-01 11:00:00-08:00,30.11117,62.0,46.0,0.0,58.0,53.0,0.0,49.0,46.0,5.0,11,1,
2022-01-01 12:00:00-08:00,29.15859,62.0,48.0,6.0,59.0,48.0,3.0,50.0,48.0,3.0,12,1,
2022-01-01 13:00:00-08:00,31.31802,62.0,56.0,10.0,61.0,43.0,5.0,51.0,48.0,0.0,13,1,
2022-01-01 14:00:00-08:00,34.11776,60.0,58.0,9.0,60.0,46.0,0.0,52.0,49.0,3.0,14,1,
2022-01-01 15:00:00-08:00,56.56713,60.0,62.0,7.0,60.0,44.0,6.0,51.0,56.0,6.0,15,1,
2022-01-01 16:00:00-08:00,83.90873,58.0,65.0,5.0,57.0,51.0,3.0,50.5,58.5,6.0,16,1,
2022-01-01 17:00:00-08:00,93.3619,56.0,70.0,5.0,54.0,64.0,0.0,49.0,66.0,5.0,17,1,
2022-01-01 18:00:00-08:00,93.2314,55.0,72.0,5.0,52.0,72.0,0.0,47.0,66.0,3.0,18,1,
2022-01-01 19:00:00-08:00,89.10512,54.0,75.0,3.0,50.0,77.0,0.0,44.0,71.0,0.0,19,1,
2022-01-01 20:00:00-08:00,82.72364,53.0,66.0,3.0,51.0,61.0,0.0,43.0,71.0,3.0,20,1,
2022-01-01 21:00:00-08:00,78.76185,48.0,80.0,0.0,49.0,56.0,0.0,43.0,71.0,0.0,21,1,
2022-01-01 22:00:00-08:00,75.33974,47.0,86.0,0.0,50.0,41.0,0.0,42.0,72.0,0.0,22,1,
2022-01-01 23:00:00-08:00,65.30444,47.0,83.0,0.0,48.0,44.0,5.0,41.0,76.0,0.0,23,1,
2022-01-02 00:00:00-08:00,66.22668,47.0,74.0,0.0,47.0,46.0,0.0,39.0,82.0,3.0,0,1,
2022-01-02 01:00:00-08:00,63.57338,45.0,80.0,0.0,46.0,50.0,3.0,38.0,83.0,0.0,1,1,
2022-01-02 02:00:00-08:00,62.98587,44.0,79.0,0.0,45.0,52.0,0.0,37.0,82.0,5.0,2,1,
2022-01-02 03:00:00-08:00,62.66524,42.0,85.0,0.0,44.0,55.0,0.0,37.0,82.0,0.0,3,1,
2022-01-02 04:00:00-08:00,64.7362,43.0,82.0,0.0,44.0,55.0,0.0,36.5,82.0,1.5,4,1,
2022-01-02 05:00:00-08:00,73.96626,43.0,80.0,0.0,45.0,44.0,3.0,36.0,86.0,3.0,5,1,
2022-01-02 06:00:00-08:00,76.19828,42.0,82.0,3.0,44.0,47.0,5.0,37.0,86.0,3.0,6,1,
2022-01-02 07:00:00-08:00,72.77065,47.0,74.0,0.0,46.0,44.0,3.0,38.0,86.0,3.0,7,1,
2022-01-02 08:00:00-08:00,54.72472,52.0,45.0,5.0,50.0,43.0,0.0,42.0,73.0,3.0,8,1,
2022-01-02 09:00:00-08:00,42.65661,56.0,30.0,0.0,55.0,31.0,0.0,45.0,63.0,3.0,9,1,
2022-01-02 10:00:00-08:00,38.98846,59.0,29.0,0.0,58.0,28.0,3.0,45.5,64.5,3.0,10,1,
2022-01-02 11:00:00-08:00,31.73775,64.0,27.0,0.0,60.0,22.0,3.0,47.0,63.0,5.0,11,1,
2022-01-02 12:00:00-08:00,30.99134,66.0,26.0,0.0,62.0,18.0,5.0,48.0,61.0,3.0,12,1,
2022-01-02 13:00:00-08:00,31.08989,68.0,23.0,7.0,63.0,16.0,3.0,50.0,57.0,5.0,13,1,
2022-01-02 14:00:00-08:00,33.05333,64.0,38.0,9.0,63.0,15.0,3.0,52.0,59.0,5.0,14,1,
2022-01-02 15:00:00-08:00,54.57045,63.0,28.0,9.0,64.0,15.0,0.0,51.0,71.0,6.0,15,1,
2022-01-02 16:00:00-08:00,78.32316,57.0,60.0,9.0,59.0,39.0,7.0,51.0,74.0,5.5,16,1,
2022-01-02 17:00:00-08:00,93.01864,55.0,67.0,6.0,55.0,51.0,0.0,52.0,77.0,7.0,17,1,
2022-01-02 18:00:00-08:00,90.12917,54.0,67.0,6.0,53.0,55.0,0.0,50.0,77.0,5.0,18,1,
2022-01-02 19:00:00-08:00,88.43704,48.0,80.0,3.0,50.0,63.0,0.0,51.0,80.0,9.0,19,1,
2022-01-02 20:00:00-08:00,84.12907,49.0,74.0,0.0,48.0,61.0,0.0,51.0,80.0,7.0,20,1,
2022-01-02 21:00:00-08:00,76.87315,47.0,77.0,0.0,48.0,52.0,0.0,52.0,80.0,6.0,21,1,
2022-01-02 22:00:00-08:00,71.10872,48.0,74.0,0.0,47.0,50.0,0.0,51.5,79.25,4.25,22,1,
2022-01-02 23:00:00-08:00,68.27823,46.0,71.0,0.0,47.0,46.0,0.0,51.5,76.0,6.0,23,1,
2022-01-03 00:00:00-08:00,66.36116,44.0,73.0,0.0,47.0,44.0,0.0,50.0,76.5,7.5,0,1,59.72968
2022-01-03 01:00:00-08:00,65.68162,43.0,76.0,0.0,46.0,46.0,0.0,48.0,80.0,5.0,1,1,61.75716
2022-01-03 02:00:00-08:00,65.02527,43.0,80.0,0.0,45.0,48.0,3.0,47.0,83.0,6.0,2,1,57.82711
2022-01-03 03:00:00-08:00,64.45607,42.0,76.0,3.0,45.0,46.0,3.0,49.0,80.0,6.5,3,1,58.68672
2022-01-03 04:00:00-08:00,66.56703,42.0,71.0,0.0,44.0,49.0,3.0,49.5,78.5,7.0,4,1,60.77612
2022-01-03 05:00:00-08:00,77.34149,41.0,73.0,0.0,45.0,44.0,3.0,50.0,77.0,11.5,5,1,75.42604
2022-01-03 06:00:00-08:00,103.72102,40.0,68.0,0.0,43.0,51.0,3.0,48.5,81.0,7.5,6,1,83.81034
2022-01-03 07:00:00-08:00,101.2743,46.0,63.0,3.0,44.0,51.0,0.0,48.5,81.0,10.0,7,1,77.28205
2022-01-03 08:00:00-08:00,76.65694,53.0,47.0,0.0,51.0,38.0,0.0,49.0,83.0,8.0,8,1,56.99334
2022-01-03 09:00:00-08:00,67.61985,57.0,47.0,0.0,57.0,28.0,0.0,52.0,75.0,13.0,9,1,42.90697
2022-01-03 10:00:00-08:00,63.75946,61.0,39.0,6.0,58.0,27.0,0.0,53.0,73.66666666666667,14.333333333333334,10,1,41.1664
2022-01-03 11:00:00-08:00,59.79957,63.0,34.0,6.0,60.0,24.0,0.0,54.5,74.5,11.0,11,1,30.11117
2022-01-03 12:00:00-08:00,58.00482,62.0,31.0,6.0,61.0,36.0,0.0,55.0,72.0,23.0,12,1,29.15859
2022-01-03 13:00:00-08:00,57.33374,63.0,31.0,7.0,60.0,39.0,3.0,55.0,74.0,20.0,13,1,31.31802
2022-01-03 14:00:00-08:00,58.20341,62.0,40.0,7.0,60.0,36.0,3.0,53.0,86.0,17.0,14,1,34.11776
2022-01-03 15:00:00-08:00,62.14718,59.0,49.0,8.0,59.0,38.0,3.0,54.0,87.0,17.0,15,1,56.56713
2022-01-03 16:00:00-08:00,90.94749,56.0,67.0,7.0,56.0,60.0,3.0,53.5,88.0,16.0,16,1,83.90873
2022-01-03 17:00:00-08:00,120.93374,54.0,72.0,5.0,53.0,74.0,0.0,53.5,93.5,11.0,17,1,93.3619
2022-01-03 18:00:00-08:00,108.64033,53.0,72.0,3.0,51.0,80.0,0.0,52.0,97.0,11.0,18,1,93.2314
2022-01-03 19:00:00-08:00,98.70983,49.0,77.0,0.0,50.0,83.0,0.0,53.0,96.0,9.0,19,1,89.10512
2022-01-03 20:00:00-08:00,89.49348,48.0,77.0,0.0,51.0,80.0,3.0,54.0,93.0,5.0,20,1,82.72364
